broadcast_date,day_of_week,ad_type,program,start_time,end_time,frequency
2025-05-09,금,중간광고,금토드라마(금)【바니와오빠들】,21:50,23:10,1
2025-05-09,금,프로그램,금토드라마(금)【바니와오빠들】,21:50,23:10,1
2025-05-09,금,프로그램,나혼자산다,23:10,25:00,1
2025-05-10,토,프로그램,금토드라마(토)【바니와오빠들】,21:50,23:10,2
2025-05-10,토,프로그램,뉴스데스크(토),19:55,20:35,2
2025-05-11,일,중간광고,복면가왕,18:05,19:55,1
2025-05-11,일,프로그램,태계일주4,21:10,22:50,1
2025-05-11,일,프로그램,놀면뭐하니스페셜,13:20,14:50,1
2025-05-11,일,프로그램,뉴스데스크(일),19:55,20:30,1
2025-05-11,일,프로그램,스트레이트,20:30,21:10,1
2025-05-11,일,프로그램,재방송0600(일),06:00,07:00,1
2025-05-11,일,프로그램,출발비디오여행,12:05,13:20,1
2025-05-11,일,프로그램,특집/스페셜(일),22:50,24:00,1
2025-05-12,월,프로그램,뉴스데스크(월),19:40,21:00,1
2025-05-13,화,중간광고,손석희의질문들,21:00,22:20,1
2025-05-14,수,프로그램,뉴스데스크(수),19:40,21:00,1
2025-05-14,수,프로그램,선을넘는클래스,21:00,22:30,1
2025-05-15,목,프로그램,뉴스데스크(목),19:40,21:00,1
2025-05-16,금,토막광고,2-1804(금)오늘N,18:04,,1
2025-05-16,금,프로그램,나혼자산다,23:10,25:00,1
2025-05-17,토,중간광고,나혼자산다스페셜,16:40,18:30,1
2025-05-17,토,중간광고,놀면뭐하니,18:30,19:55,1
2025-05-17,토,중간광고,재방송2500(토),25:00,27:00,1
2025-05-17,토,토막광고,2-2149(토) 금토드라마,21:49,,1
2025-05-17,토,프로그램,금토드라마(토)【바니와오빠들】,21:50,23:10,1
2025-05-18,일,중간광고,출발비디오여행,12:05,13:20,1
2025-05-18,일,프로그램,태계일주4,21:10,22:50,1
2025-05-18,일,프로그램,놀면뭐하니스페셜,13:20,14:50,1
2025-05-18,일,프로그램,신비한TV서프라이즈,10:40,11:55,1
2025-05-18,일,프로그램,재방송0600(일),06:00,07:00,1
2025-05-18,일,프로그램,재방송2400(일),24:00,25:20,1
2025-05-21,수,프로그램,라디오스타,22:30,24:15,1
2025-05-22,목,중간광고,구해줘홈즈,22:00,23:40,1
2025-05-22,목,프로그램,뉴스데스크(목),19:40,21:00,1
2025-05-24,토,중간광고,재방송2500(토),25:00,27:00,1
2025-05-24,토,프로그램,놀면뭐하니,18:30,19:55,1
2025-05-25,일,프로그램,태계일주4,21:10,22:50,1
2025-05-25,일,프로그램,신비한TV서프라이즈,10:40,11:55,1
2025-05-25,일,프로그램,재방송2400(일),24:00,25:20,1
2025-05-26,월,중간광고,뉴스데스크(월),19:40,21:00,1
2025-05-26,월,프로그램,오은영리포트결혼지옥,22:45,24:30,1
2025-05-29,목,프로그램,뉴스데스크(목),19:40,21:00,1
2025-05-29,목,프로그램,실화탐사대,21:00,22:00,1
2025-05-31,토,중간광고,재방송2500(토),25:00,27:00,1
2025-05-31,토,프로그램,나혼자산다스페셜,16:40,18:30,1
2025-06-01,일,프로그램,출발비디오여행,12:05,13:20,1
2025-06-02,월,프로그램,뉴스데스크(월),19:40,21:00,1
2025-06-03,화,프로그램,뉴스데스크(화),19:40,21:00,1
2025-06-07,토,프로그램,구해줘홈즈스페셜,12:20,14:00,1
2025-06-07,토,프로그램,라디오스타스페셜(토),10:25,12:10,1
